Wavelength,AF594
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,0
529,0
530,0
531,0
532,0
533,0
534,0
535,0
536,0
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,0
579,0
580,6.159652
581,6.657252
582,7.393682
583,8.439029
584,9.697656
585,11.0455
586,12.52446
587,14.19956
588,16.21023
589,18.36772
590,20.67448
591,23.06124
592,25.72563
593,28.82137
594,31.39201
595,34.48686
596,37.65972
597,41.22657
598,44.79509
599,48.51176
600,52.36294
601,56.10341
602,59.79898
603,63.7296
604,67.78604
605,71.54912
606,74.81172
607,78.44492
608,81.79675
609,84.75771
610,87.60434
611,90.36494
612,92.63379
613,94.40963
614,95.86674
615,97.46132
616,98.5704
617,99.58007
618,100
619,99.82571
620,99.60434
621,99.47138
622,98.47868
623,97.6152
624,96.81441
625,95.33356
626,93.43191
627,91.77079
628,89.87393
629,88.16347
630,85.91565
631,84.12842
632,81.89742
633,79.76271
634,77.06181
635,74.86134
636,72.83564
637,70.24368
638,67.88036
639,65.78358
640,63.6376
641,61.58537
642,59.49122
643,57.66385
644,55.54511
645,53.62628
646,52.26034
647,50.51135
648,48.88625
649,47.27924
650,45.80135
651,44.53698
652,43.27085
653,42.0849
654,40.80254
655,39.76564
656,38.83087
657,37.70473
658,37.06108
659,36.12849
660,35.35397
661,34.63075
662,34.16343
663,33.4713
664,32.6449
665,32.10725
666,31.58802
667,30.96013
668,30.23204
669,29.76477
670,28.91156
671,28.51897
672,28.09375
673,27.64659
674,26.89773
675,26.57753
676,26.15461
677,25.553
678,25.07635
679,24.57134
680,24.15125
681,23.70088
682,23.18129
683,22.63349
684,22.18079
685,21.75091
686,21.26381
687,20.66264
688,20.10799
689,19.6894
690,19.32303
691,18.72565
692,18.39428
693,17.80299
694,17.46973
695,16.96676
696,16.58983
697,16.25421
698,15.8811
699,15.22661
700,14.91386
701,14.38712
702,13.97341
703,13.52077
704,13.00403
705,12.51318
706,12.24539
707,11.8706
708,11.48916
709,10.98058
710,10.65321
711,10.24641
712,10.03522
713,9.651175
714,9.36594
715,9.011077
716,8.51892
717,8.315224
718,8.065984
719,7.658446
720,7.36029
721,7.313755
722,7.034952
723,6.722994
724,6.35893
725,6.191506
726,6.046386
727,5.854695
728,5.79458
729,5.538778
730,5.463121
731,5.323188
732,5.202738
733,5.112418
734,4.845291
735,4.817102
736,4.67255
737,4.586245
738,4.398238
739,4.363708
740,4.170607
741,4.089836
742,4.061226
743,3.97734
744,3.864513
745,3.820215
746,3.751669
747,3.572405
748,3.574366
749,3.524642
750,3.403642
751,0
752,0
753,0
754,0
755,0
756,0
757,0
758,0
759,0
760,0
761,0
762,0
763,0
764,0
765,0
766,0
767,0
768,0
769,0
770,0
771,0
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,0
785,0
786,0
787,0
788,0
789,0
790,0
791,0
792,0
793,0
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,0
804,0
805,0
806,0
807,0
808,0
809,0
810,0
811,0
812,0
813,0
814,0
815,0
816,0
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,0
838,0
839,0
840,0
841,0
842,0
843,0
844,0
845,0
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,0
854,0
855,0
856,0
857,0
858,0
859,0
860,0
861,0
862,0
863,0
864,0
865,0
866,0
867,0
868,0
869,0
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0
890,0
891,0
892,0
893,0
894,0
895,0
896,0
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0
909,0
910,0
911,0
912,0
913,0
914,0
915,0
916,0
917,0
918,0
919,0
920,0
921,0
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,0
930,0
931,0
932,0
933,0
934,0
935,0
936,0
937,0
938,0
939,0
940,0
941,0
942,0
943,0
944,0
945,0
946,0
947,0
948,0
949,0
