Wavelength (nm),Fit AF555,Fit AF594,Fit AF647,Fit full,Experimental,Residuals,Fit AF555 integrated,Fit AF594 integrated,Fit AF647 integrated,Fit full Integrated,Sum residuals,Coeff of Determination (R2)
300,0.0,0.0,0.0,0.0,0.0,0.0,1040044.6052000006,2754907.28235,7676633.35805816,11471585.245608164,3.045799538220436e-20,1.0
301,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
302,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
303,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
304,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
305,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
306,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
307,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
308,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
310,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
311,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
312,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
313,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
314,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
315,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
316,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
317,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
318,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
319,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
320,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
321,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
323,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
324,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
325,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
326,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
327,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
329,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
330,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
331,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
332,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
334,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
336,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
337,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
338,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
339,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
