Wavelength (nm),Fit AF555,Fit AF594,Fit AF647,Fit full,Experimental,Residuals,Fit AF555 integrated,Fit AF594 integrated,Fit AF647 integrated,Fit full Integrated,Sum residuals,Coeff of Determination (R2)
300,0.0,0.0,0.0,0.0,0.0,0.0,390016.7269499993,1322355.4955280004,2777729.1756131477,4490101.398091148,3.8465337971852085e-20,1.0
301,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
302,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
303,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
304,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
305,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
306,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
307,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
308,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
309,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
310,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
311,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
312,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
313,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
314,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
315,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
316,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
317,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
318,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
319,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
320,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
321,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
322,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
323,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
324,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
325,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
326,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
327,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
328,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
329,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
330,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
331,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
332,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
333,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
334,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
335,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
336,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
337,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
338,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
339,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
340,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
341,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
342,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
343,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
344,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
345,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
346,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
347,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
348,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
349,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
350,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
351,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
352,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
353,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
354,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
355,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
356,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
357,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
358,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
359,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
360,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
361,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
362,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
363,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
364,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
365,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
366,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
367,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
368,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
369,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
370,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
371,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
372,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
373,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
374,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
375,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
376,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
377,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
378,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
379,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
380,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
381,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
382,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
383,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
384,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
385,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
386,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
387,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
388,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
389,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
390,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
391,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
392,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
393,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
394,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
395,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
396,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
397,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
398,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
399,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
400,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
401,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
402,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
403,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
404,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
405,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
406,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
407,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
408,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
409,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
410,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
411,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
412,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
413,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
414,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
415,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
416,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
417,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
418,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
419,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
420,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
421,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
422,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
423,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
424,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
425,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
426,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
427,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
428,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
429,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
430,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
431,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
432,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
433,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
434,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
435,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
436,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
437,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
438,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
439,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
440,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
441,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
442,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
443,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
444,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
445,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
446,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
447,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
448,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
449,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
450,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
451,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
452,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
453,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
454,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
455,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
456,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
457,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
458,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
459,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
460,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
461,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
462,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
463,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
464,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
465,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
466,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
467,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
468,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
469,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
470,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
471,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
472,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
473,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
474,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
475,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
476,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
477,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
478,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
479,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
480,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
481,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
482,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
483,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
484,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
485,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
486,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
487,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
488,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
489,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
490,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
491,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
492,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
493,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
494,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
495,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
496,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
497,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
498,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
499,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
500,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
501,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
502,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
503,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
504,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
505,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
506,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
507,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
508,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
509,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
510,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
511,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
512,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
513,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
514,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
515,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
516,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
517,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
518,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
519,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
520,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
521,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
522,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
523,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
524,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
525,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
526,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
527,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
528,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
529,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
530,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
531,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
532,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
533,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
534,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
535,144.56249999999972,0.0,0.0,144.56249999999972,144.5625,8.077935669463161e-26,,,,,,
536,156.0639749999997,0.0,0.0,156.0639749999997,156.063975,9.774302160050425e-26,,,,,,
537,173.87789999999967,0.0,0.0,173.87789999999967,173.8779,1.1632227364026952e-25,,,,,,
538,187.97332499999965,0.0,0.0,187.97332499999965,187.973325,1.1632227364026952e-25,,,,,,
539,228.55402499999957,0.0,0.0,228.55402499999957,228.554025,1.8175355256292112e-25,,,,,,
540,279.3144749999995,0.0,0.0,279.3144749999995,279.314475,2.617251156906064e-25,,,,,,
541,321.9827999999994,0.0,0.0,321.9827999999994,321.9828,3.90972086402017e-25,,,,,,
542,407.2981499999992,0.0,0.0,407.2981499999992,407.29815,6.333101564859118e-25,,,,,,
